,시간,03-21 (목)
0,최대,258.1
1,최소,-77.94
2,평균,128.55
3,00시00분,127.41
4,00시15분,127.41
5,00시30분,127.41
6,00시45분,127.41
7,01시00분,108.69
8,01시15분,108.69
9,01시30분,108.69
10,01시45분,108.69
11,02시00분,103.53
12,02시15분,103.53
13,02시30분,103.53
14,02시45분,103.53
15,03시00분,103.34
16,03시15분,103.34
17,03시30분,103.34
18,03시45분,103.34
19,04시00분,107.31
20,04시15분,107.31
21,04시30분,107.31
22,04시45분,107.31
23,05시00분,127.59
24,05시15분,127.59
25,05시30분,127.59
26,05시45분,127.59
27,06시00분,136.1
28,06시15분,169.21
29,06시30분,136.04
30,06시45분,255.56
31,07시00분,258.1
32,07시15분,257.66
33,07시30분,255.61
34,07시45분,153.23
35,08시00분,168.1
36,08시15분,168.19
37,08시30분,-77.94
38,08시45분,168.22
39,09시00분,168.27
40,09시15분,0.0
41,09시30분,-8.66
42,09시45분,-77.94
43,10시00분,151.23
44,10시15분,151.23
45,10시30분,151.23
46,10시45분,151.23
47,11시00분,150.46
48,11시15분,150.46
49,11시30분,150.46
50,11시45분,150.46
51,12시00분,0.0
52,12시15분,126.25
53,12시30분,0.0
54,12시45분,126.25
55,13시00분,147.14
56,13시15분,147.14
57,13시30분,147.14
58,13시45분,147.14
59,14시00분,149.42
60,14시15분,149.42
61,14시30분,149.42
62,14시45분,149.42
63,15시00분,149.29
64,15시15분,149.29
65,15시30분,149.29
66,15시45분,149.29
67,16시00분,0.0
68,16시15분,149.29
69,16시30분,149.29
70,16시45분,-76.38
71,17시00분,0.0
72,17시15분,166.62
73,17시30분,168.7
74,17시45분,169.47
75,18시00분,168.99
76,18시15분,168.97
77,18시30분,168.97
78,18시45분,168.97
79,19시00분,168.97
80,19시15분,168.97
81,19시30분,168.97
82,19시45분,168.97
83,20시00분,169.14
84,20시15분,168.97
85,20시30분,168.97
86,20시45분,
87,21시00분,
88,21시15분,
89,21시30분,
90,21시45분,
91,22시00분,
92,22시15분,
93,22시30분,
94,22시45분,
95,23시00분,
96,23시15분,
97,23시30분,
98,23시45분,
