,시간,03-23 (토)
0,최대,168.59
1,최소,-77.94
2,평균,115.76
3,00시00분,158.33
4,00시15분,158.33
5,00시30분,158.33
6,00시45분,158.33
7,01시00분,156.67
8,01시15분,156.67
9,01시30분,156.67
10,01시45분,156.67
11,02시00분,142.95
12,02시15분,142.95
13,02시30분,142.95
14,02시45분,142.95
15,03시00분,120.02
16,03시15분,120.02
17,03시30분,120.02
18,03시45분,120.02
19,04시00분,139.13
20,04시15분,139.13
21,04시30분,139.13
22,04시45분,139.13
23,05시00분,156.68
24,05시15분,156.68
25,05시30분,156.68
26,05시45분,156.68
27,06시00분,156.69
28,06시15분,156.69
29,06시30분,156.69
30,06시45분,156.69
31,07시00분,156.69
32,07시15분,156.69
33,07시30분,156.69
34,07시45분,156.69
35,08시00분,156.69
36,08시15분,156.69
37,08시30분,156.69
38,08시45분,156.69
39,09시00분,105.68
40,09시15분,105.68
41,09시30분,105.68
42,09시45분,105.68
43,10시00분,-77.94
44,10시15분,0.0
45,10시30분,0.0
46,10시45분,0.0
47,11시00분,-25.98
48,11시15분,-77.94
49,11시30분,-77.94
50,11시45분,-77.94
51,12시00분,-77.94
52,12시15분,-77.94
53,12시30분,-77.94
54,12시45분,-77.94
55,13시00분,-19.0
56,13시15분,105.24
57,13시30분,105.24
58,13시45분,105.24
59,14시00분,104.91
60,14시15분,104.91
61,14시30분,104.91
62,14시45분,104.91
63,15시00분,95.27
64,15시15분,95.27
65,15시30분,95.27
66,15시45분,95.27
67,16시00분,95.53
68,16시15분,95.53
69,16시30분,95.53
70,16시45분,95.53
71,17시00분,104.76
72,17시15분,104.76
73,17시30분,104.76
74,17시45분,142.55
75,18시00분,168.42
76,18시15분,168.42
77,18시30분,168.42
78,18시45분,168.42
79,19시00분,168.42
80,19시15분,168.42
81,19시30분,168.42
82,19시45분,168.42
83,20시00분,168.42
84,20시15분,168.42
85,20시30분,168.42
86,20시45분,168.42
87,21시00분,168.59
88,21시15분,168.59
89,21시30분,168.59
90,21시45분,168.59
91,22시00분,168.59
92,22시15분,168.59
93,22시30분,167.66
94,22시45분,167.66
95,23시00분,167.66
96,23시15분,167.66
97,23시30분,167.66
98,23시45분,157.43
