,시간,03-20 (수)
0,최대,169.2
1,최소,-77.94
2,평균,57.88
3,00시00분,124.24
4,00시15분,124.24
5,00시30분,124.24
6,00시45분,124.24
7,01시00분,107.31
8,01시15분,107.31
9,01시30분,107.31
10,01시45분,107.31
11,02시00분,103.39
12,02시15분,103.39
13,02시30분,103.39
14,02시45분,103.39
15,03시00분,103.32
16,03시15분,103.32
17,03시30분,103.32
18,03시45분,103.32
19,04시00분,103.63
20,04시15분,103.63
21,04시30분,103.63
22,04시45분,103.63
23,05시00분,118.48
24,05시15분,118.48
25,05시30분,118.48
26,05시45분,118.48
27,06시00분,125.91
28,06시15분,125.91
29,06시30분,125.91
30,06시45분,125.91
31,07시00분,129.18
32,07시15분,129.18
33,07시30분,129.18
34,07시45분,129.18
35,08시00분,169.2
36,08시15분,0.0
37,08시30분,0.0
38,08시45분,-19.0
39,09시00분,0.0
40,09시15분,0.0
41,09시30분,-19.0
42,09시45분,-25.98
43,10시00분,-25.98
44,10시15분,-77.94
45,10시30분,-77.94
46,10시45분,-77.94
47,11시00분,-76.38
48,11시15분,-76.38
49,11시30분,-77.94
50,11시45분,-77.94
51,12시00분,-77.94
52,12시15분,-77.94
53,12시30분,-77.94
54,12시45분,-77.94
55,13시00분,-77.94
56,13시15분,-77.94
57,13시30분,-77.94
58,13시45분,-77.94
59,14시00분,-77.94
60,14시15분,-77.94
61,14시30분,-77.94
62,14시45분,-77.94
63,15시00분,-77.94
64,15시15분,-77.94
65,15시30분,-77.94
66,15시45분,-76.38
67,16시00분,-77.94
68,16시15분,-69.28
69,16시30분,0.0
70,16시45분,0.0
71,17시00분,-19.0
72,17시15분,0.0
73,17시30분,0.0
74,17시45분,125.62
75,18시00분,146.98
76,18시15분,146.98
77,18시30분,146.98
78,18시45분,146.98
79,19시00분,147.59
80,19시15분,147.59
81,19시30분,147.59
82,19시45분,147.59
83,20시00분,147.64
84,20시15분,147.64
85,20시30분,147.64
86,20시45분,147.64
87,21시00분,147.69
88,21시15분,147.69
89,21시30분,147.69
90,21시45분,147.69
91,22시00분,152.99
92,22시15분,152.99
93,22시30분,152.99
94,22시45분,152.99
95,23시00분,168.4
96,23시15분,168.4
97,23시30분,168.4
98,23시45분,167.3
