,시간,03-11 (월)
0,최대,182.24
1,최소,-77.94
2,평균,118.36
3,00시00분,0.0
4,00시15분,108.05
5,00시30분,108.05
6,00시45분,108.05
7,01시00분,83.44
8,01시15분,83.44
9,01시30분,83.44
10,01시45분,83.44
11,02시00분,84.24
12,02시15분,84.24
13,02시30분,84.24
14,02시45분,84.24
15,03시00분,84.24
16,03시15분,84.24
17,03시30분,84.24
18,03시45분,84.24
19,04시00분,84.24
20,04시15분,84.24
21,04시30분,84.24
22,04시45분,84.24
23,05시00분,84.24
24,05시15분,84.24
25,05시30분,84.24
26,05시45분,84.24
27,06시00분,108.05
28,06시15분,108.05
29,06시30분,108.05
30,06시45분,108.05
31,07시00분,108.69
32,07시15분,108.69
33,07시30분,108.69
34,07시45분,108.69
35,08시00분,182.24
36,08시15분,182.24
37,08시30분,180.65
38,08시45분,0.0
39,09시00분,-1.0
40,09시15분,-1.0
41,09시30분,-77.94
42,09시45분,0.0
43,10시00분,0.0
44,10시15분,0.0
45,10시30분,0.0
46,10시45분,0.0
47,11시00분,135.98
48,11시15분,168.3
49,11시30분,168.3
50,11시45분,168.86
51,12시00분,168.86
52,12시15분,168.86
53,12시30분,168.86
54,12시45분,168.84
55,13시00분,168.84
56,13시15분,168.84
57,13시30분,168.84
58,13시45분,168.84
59,14시00분,170.27
60,14시15분,170.27
61,14시30분,170.27
62,14시45분,170.27
63,15시00분,170.27
64,15시15분,170.27
65,15시30분,170.27
66,15시45분,170.27
67,16시00분,170.27
68,16시15분,170.27
69,16시30분,170.27
70,16시45분,170.27
71,17시00분,170.27
72,17시15분,170.27
73,17시30분,170.27
74,17시45분,170.32
75,18시00분,170.32
76,18시15분,170.32
77,18시30분,170.32
78,18시45분,170.32
79,19시00분,170.32
80,19시15분,170.32
81,19시30분,170.32
82,19시45분,170.32
83,20시00분,170.5
84,20시15분,
85,20시30분,
86,20시45분,
87,21시00분,
88,21시15분,
89,21시30분,
90,21시45분,
91,22시00분,
92,22시15분,
93,22시30분,
94,22시45분,
95,23시00분,
96,23시15분,
97,23시30분,
98,23시45분,
