,시간,03-24 (일)
0,최대,158.14
1,최소,91.38
2,평균,116.17
3,00시00분,158.11
4,00시15분,158.14
5,00시30분,158.14
6,00시45분,127.8
7,01시00분,104.62
8,01시15분,104.62
9,01시30분,104.62
10,01시45분,104.62
11,02시00분,104.62
12,02시15분,104.62
13,02시30분,104.62
14,02시45분,104.62
15,03시00분,100.21
16,03시15분,100.21
17,03시30분,100.21
18,03시45분,100.21
19,04시00분,104.62
20,04시15분,104.62
21,04시30분,104.62
22,04시45분,104.62
23,05시00분,125.92
24,05시15분,125.92
25,05시30분,125.92
26,05시45분,125.92
27,06시00분,130.8
28,06시15분,130.8
29,06시30분,130.8
30,06시45분,130.8
31,07시00분,122.6
32,07시15분,122.6
33,07시30분,122.6
34,07시45분,122.6
35,08시00분,95.83
36,08시15분,95.83
37,08시30분,95.83
38,08시45분,95.83
39,09시00분,100.21
40,09시15분,100.21
41,09시30분,100.21
42,09시45분,100.21
43,10시00분,100.21
44,10시15분,100.21
45,10시30분,100.21
46,10시45분,100.21
47,11시00분,96.49
48,11시15분,96.49
49,11시30분,96.49
50,11시45분,96.49
51,12시00분,95.77
52,12시15분,95.77
53,12시30분,95.77
54,12시45분,95.77
55,13시00분,95.77
56,13시15분,95.77
57,13시30분,95.77
58,13시45분,95.77
59,14시00분,95.42
60,14시15분,95.42
61,14시30분,95.42
62,14시45분,95.42
63,15시00분,91.38
64,15시15분,91.38
65,15시30분,91.38
66,15시45분,91.38
67,16시00분,95.47
68,16시15분,95.47
69,16시30분,95.47
70,16시45분,95.47
71,17시00분,104.78
72,17시15분,104.78
73,17시30분,104.78
74,17시45분,104.78
75,18시00분,157.19
76,18시15분,157.19
77,18시30분,157.19
78,18시45분,157.19
79,19시00분,157.19
80,19시15분,157.19
81,19시30분,157.19
82,19시45분,157.19
83,20시00분,157.19
84,20시15분,157.19
85,20시30분,157.19
86,20시45분,157.19
87,21시00분,157.19
88,21시15분,157.19
89,21시30분,129.41
90,21시45분,129.41
91,22시00분,129.5
92,22시15분,129.5
93,22시30분,129.5
94,22시45분,129.5
95,23시00분,128.34
96,23시15분,128.34
97,23시30분,128.34
98,23시45분,128.34
