,시간,03-09 (토)
0,최대,170.12
1,최소,-19.0
2,평균,113.42
3,00시00분,170.12
4,00시15분,170.12
5,00시30분,170.12
6,00시45분,169.55
7,01시00분,110.46
8,01시15분,110.46
9,01시30분,110.46
10,01시45분,110.46
11,02시00분,110.46
12,02시15분,110.46
13,02시30분,110.46
14,02시45분,110.46
15,03시00분,109.16
16,03시15분,109.16
17,03시30분,109.16
18,03시45분,109.16
19,04시00분,110.73
20,04시15분,110.73
21,04시30분,110.73
22,04시45분,110.73
23,05시00분,110.73
24,05시15분,110.73
25,05시30분,110.73
26,05시45분,110.73
27,06시00분,169.4
28,06시15분,169.48
29,06시30분,169.61
30,06시45분,169.61
31,07시00분,169.61
32,07시15분,169.61
33,07시30분,169.61
34,07시45분,169.61
35,08시00분,110.73
36,08시15분,110.73
37,08시30분,110.73
38,08시45분,110.73
39,09시00분,110.46
40,09시15분,0.0
41,09시30분,0.0
42,09시45분,0.0
43,10시00분,100.55
44,10시15분,100.55
45,10시30분,100.55
46,10시45분,100.55
47,11시00분,0.0
48,11시15분,0.0
49,11시30분,-1.0
50,11시45분,-1.0
51,12시00분,-19.0
52,12시15분,-19.0
53,12시30분,-19.0
54,12시45분,-19.0
55,13시00분,-8.0
56,13시15분,-1.0
57,13시30분,-1.0
58,13시45분,0.0
59,14시00분,95.43
60,14시15분,95.43
61,14시30분,95.43
62,14시45분,95.43
63,15시00분,95.96
64,15시15분,95.96
65,15시30분,95.96
66,15시45분,95.96
67,16시00분,0.0
68,16시15분,107.57
69,16시30분,107.57
70,16시45분,107.57
71,17시00분,167.43
72,17시15분,167.43
73,17시30분,167.43
74,17시45분,167.43
75,18시00분,167.43
76,18시15분,167.43
77,18시30분,167.43
78,18시45분,167.43
79,19시00분,167.43
80,19시15분,167.43
81,19시30분,167.43
82,19시45분,167.43
83,20시00분,167.43
84,20시15분,167.43
85,20시30분,167.43
86,20시45분,167.43
87,21시00분,167.43
88,21시15분,167.43
89,21시30분,167.43
90,21시45분,167.43
91,22시00분,167.75
92,22시15분,167.75
93,22시30분,167.75
94,22시45분,167.75
95,23시00분,167.61
96,23시15분,167.61
97,23시30분,167.61
98,23시45분,167.61
