,시간,03-22 (금)
0,최대,255.56
1,최소,-77.94
2,평균,66.67
3,00시00분,168.26
4,00시15분,168.26
5,00시30분,168.26
6,00시45분,255.56
7,01시00분,168.25
8,01시15분,168.25
9,01시30분,168.25
10,01시45분,168.25
11,02시00분,121.65
12,02시15분,121.65
13,02시30분,121.65
14,02시45분,121.65
15,03시00분,121.65
16,03시15분,121.65
17,03시30분,121.65
18,03시45분,121.65
19,04시00분,170.71
20,04시15분,169.9
21,04시30분,169.59
22,04시45분,169.33
23,05시00분,169.11
24,05시15분,168.92
25,05시30분,168.75
26,05시45분,168.6
27,06시00분,168.47
28,06시15분,168.86
29,06시30분,168.83
30,06시45분,168.83
31,07시00분,170.33
32,07시15분,170.33
33,07시30분,0.0
34,07시45분,0.0
35,08시00분,0.0
36,08시15분,0.0
37,08시30분,-19.0
38,08시45분,-19.0
39,09시00분,0.0
40,09시15분,0.0
41,09시30분,155.08
42,09시45분,0.0
43,10시00분,-19.0
44,10시15분,-69.28
45,10시30분,-77.94
46,10시45분,-77.94
47,11시00분,-77.94
48,11시15분,-77.94
49,11시30분,-77.94
50,11시45분,-77.94
51,12시00분,-77.94
52,12시15분,-77.94
53,12시30분,-77.94
54,12시45분,-77.94
55,13시00분,-77.94
56,13시15분,-77.94
57,13시30분,-77.94
58,13시45분,-60.62
59,14시00분,-19.0
60,14시15분,0.0
61,14시30분,0.0
62,14시45분,0.0
63,15시00분,0.0
64,15시15분,0.0
65,15시30분,-17.32
66,15시45분,-19.0
67,16시00분,-25.98
68,16시15분,-19.0
69,16시30분,0.0
70,16시45분,0.0
71,17시00분,0.0
72,17시15분,0.0
73,17시30분,170.29
74,17시45분,170.98
75,18시00분,135.78
76,18시15분,153.28
77,18시30분,153.28
78,18시45분,153.28
79,19시00분,153.4
80,19시15분,153.4
81,19시30분,153.4
82,19시45분,153.4
83,20시00분,135.9
84,20시15분,134.63
85,20시30분,0.0
86,20시45분,0.0
87,21시00분,0.0
88,21시15분,0.0
89,21시30분,0.0
90,21시45분,0.0
91,22시00분,0.0
92,22시15분,0.0
93,22시30분,153.57
94,22시45분,153.57
95,23시00분,160.11
96,23시15분,160.11
97,23시30분,160.11
98,23시45분,160.11
