,시간,03-02 (토)
0,최대,330.57
1,최소,-77.9
2,평균,141.2
3,00시00분,166.71
4,00시15분,171.15
5,00시30분,169.4
6,00시45분,100.28
7,01시00분,99.48
8,01시15분,323.86
9,01시30분,169.15
10,01시45분,167.66
11,02시00분,168.65
12,02시15분,168.71
13,02시30분,166.92
14,02시45분,165.95
15,03시00분,167.49
16,03시15분,167.01
17,03시30분,91.24
18,03시45분,91.24
19,04시00분,325.31
20,04시15분,91.24
21,04시30분,91.24
22,04시45분,91.24
23,05시00분,95.38
24,05시15분,95.38
25,05시30분,95.38
26,05시45분,95.38
27,06시00분,99.48
28,06시15분,99.48
29,06시30분,173.21
30,06시45분,99.48
31,07시00분,178.74
32,07시15분,177.9
33,07시30분,178.44
34,07시45분,102.02
35,08시00분,101.85
36,08시15분,101.85
37,08시30분,101.85
38,08시45분,101.85
39,09시00분,104.14
40,09시15분,104.14
41,09시30분,104.14
42,09시45분,104.14
43,10시00분,100.76
44,10시15분,100.76
45,10시30분,100.76
46,10시45분,100.76
47,11시00분,95.88
48,11시15분,0.0
49,11시30분,0.0
50,11시45분,-19.0
51,12시00분,-73.65
52,12시15분,-76.94
53,12시30분,-77.9
54,12시45분,-73.65
55,13시00분,0.0
56,13시15분,0.0
57,13시30분,0.0
58,13시45분,0.0
59,14시00분,99.48
60,14시15분,99.48
61,14시30분,99.48
62,14시45분,-73.65
63,15시00분,0.0
64,15시15분,100.55
65,15시30분,100.55
66,15시45분,100.55
67,16시00분,99.48
68,16시15분,99.48
69,16시30분,99.48
70,16시45분,99.48
71,17시00분,100.55
72,17시15분,100.55
73,17시30분,100.55
74,17시45분,100.55
75,18시00분,161.13
76,18시15분,169.15
77,18시30분,172.77
78,18시45분,325.8
79,19시00분,325.8
80,19시15분,325.69
81,19시30분,325.8
82,19시45분,330.56
83,20시00분,330.57
84,20시15분,330.41
85,20시30분,330.39
86,20시45분,329.28
87,21시00분,325.78
88,21시15분,325.78
89,21시30분,325.79
90,21시45분,325.74
91,22시00분,325.75
92,22시15분,322.89
93,22시30분,325.75
94,22시45분,169.69
95,23시00분,170.47
96,23시15분,169.88
97,23시30분,168.42
98,23시45분,169.3
