,시간,03-25 (월)
0,최대,214.71
1,최소,105.24
2,평균,158.15
3,00시00분,124.24
4,00시15분,124.24
5,00시30분,124.24
6,00시45분,124.24
7,01시00분,105.24
8,01시15분,105.24
9,01시30분,105.24
10,01시45분,105.24
11,02시00분,105.24
12,02시15분,105.24
13,02시30분,105.24
14,02시45분,105.24
15,03시00분,105.24
16,03시15분,105.24
17,03시30분,105.24
18,03시45분,105.24
19,04시00분,105.24
20,04시15분,105.24
21,04시30분,105.24
22,04시45분,105.24
23,05시00분,105.24
24,05시15분,105.24
25,05시30분,105.24
26,05시45분,105.24
27,06시00분,168.97
28,06시15분,168.97
29,06시30분,168.97
30,06시45분,168.97
31,07시00분,168.97
32,07시15분,168.97
33,07시30분,168.97
34,07시45분,168.8
35,08시00분,170.36
36,08시15분,170.36
37,08시30분,170.36
38,08시45분,170.36
39,09시00분,208.14
40,09시15분,208.14
41,09시30분,208.14
42,09시45분,208.14
43,10시00분,170.27
44,10시15분,170.27
45,10시30분,170.27
46,10시45분,170.08
47,11시00분,214.71
48,11시15분,214.54
49,11시30분,214.4
50,11시45분,214.28
51,12시00분,214.18
52,12시15분,214.18
53,12시30분,214.03
54,12시45분,213.96
55,13시00분,213.91
56,13시15분,169.01
57,13시30분,169.01
58,13시45분,169.01
59,14시00분,169.71
60,14시15분,169.71
61,14시30분,169.71
62,14시45분,169.71
63,15시00분,162.39
64,15시15분,162.39
65,15시30분,162.39
66,15시45분,162.39
67,16시00분,156.2
68,16시15분,156.2
69,16시30분,156.2
70,16시45분,156.2
71,17시00분,168.22
72,17시15분,168.22
73,17시30분,168.22
74,17시45분,168.22
75,18시00분,169.49
76,18시15분,169.49
77,18시30분,169.49
78,18시45분,169.49
79,19시00분,167.57
80,19시15분,167.57
81,19시30분,167.57
82,19시45분,167.57
83,20시00분,167.57
84,20시15분,167.57
85,20시30분,167.57
86,20시45분,167.57
87,21시00분,167.57
88,21시15분,167.57
89,21시30분,167.57
90,21시45분,167.57
91,22시00분,167.57
92,22시15분,167.57
93,22시30분,
94,22시45분,
95,23시00분,
96,23시15분,
97,23시30분,
98,23시45분,
