,시간,03-18 (월)
0,최대,167.53
1,최소,-77.94
2,평균,94.51
3,00시00분,0.0
4,00시15분,0.0
5,00시30분,0.0
6,00시45분,0.0
7,01시00분,0.0
8,01시15분,0.0
9,01시30분,0.0
10,01시45분,0.0
11,02시00분,86.3
12,02시15분,86.3
13,02시30분,86.3
14,02시45분,86.3
15,03시00분,86.3
16,03시15분,86.3
17,03시30분,86.3
18,03시45분,86.3
19,04시00분,86.3
20,04시15분,86.3
21,04시30분,86.3
22,04시45분,86.3
23,05시00분,94.53
24,05시15분,94.53
25,05시30분,94.53
26,05시45분,94.53
27,06시00분,109.22
28,06시15분,109.22
29,06시30분,109.22
30,06시45분,109.22
31,07시00분,138.16
32,07시15분,136.2
33,07시30분,133.74
34,07시45분,133.27
35,08시00분,163.1
36,08시15분,163.12
37,08시30분,164.47
38,08시45분,163.15
39,09시00분,137.93
40,09시15분,0.0
41,09시30분,-19.0
42,09시45분,-77.94
43,10시00분,-77.94
44,10시15분,-19.0
45,10시30분,0.0
46,10시45분,-19.0
47,11시00분,154.46
48,11시15분,154.46
49,11시30분,154.46
50,11시45분,154.46
51,12시00분,146.17
52,12시15분,146.17
53,12시30분,146.17
54,12시45분,146.17
55,13시00분,154.43
56,13시15분,154.43
57,13시30분,154.43
58,13시45분,154.43
59,14시00분,133.37
60,14시15분,146.17
61,14시30분,146.17
62,14시45분,0.0
63,15시00분,-77.94
64,15시15분,0.0
65,15시30분,164.88
66,15시45분,164.05
67,16시00분,166.19
68,16시15분,166.19
69,16시30분,167.23
70,16시45분,167.23
71,17시00분,167.53
72,17시15분,167.53
73,17시30분,167.53
74,17시45분,167.53
75,18시00분,
76,18시15분,
77,18시30분,
78,18시45분,
79,19시00분,
80,19시15분,
81,19시30분,
82,19시45분,
83,20시00분,
84,20시15분,
85,20시30분,
86,20시45분,
87,21시00분,
88,21시15분,
89,21시30분,
90,21시45분,
91,22시00분,
92,22시15분,
93,22시30분,
94,22시45분,
95,23시00분,
96,23시15분,
97,23시30분,
98,23시45분,
