,시간,03-12 (화)
0,최대,179.39
1,최소,-19.0
2,평균,125.33
3,00시00분,170.23
4,00시15분,167.05
5,00시30분,167.05
6,00시45분,148.87
7,01시00분,107.12
8,01시15분,107.12
9,01시30분,107.12
10,01시45분,107.12
11,02시00분,107.12
12,02시15분,107.12
13,02시30분,107.12
14,02시45분,107.12
15,03시00분,107.12
16,03시15분,107.12
17,03시30분,107.12
18,03시45분,107.12
19,04시00분,107.12
20,04시15분,107.12
21,04시30분,107.12
22,04시45분,107.12
23,05시00분,107.12
24,05시15분,107.12
25,05시30분,107.12
26,05시45분,107.12
27,06시00분,166.32
28,06시15분,166.32
29,06시30분,166.32
30,06시45분,166.26
31,07시00분,166.21
32,07시15분,166.21
33,07시30분,166.21
34,07시45분,166.01
35,08시00분,165.88
36,08시15분,166.0
37,08시30분,165.94
38,08시45분,165.94
39,09시00분,179.39
40,09시15분,167.27
41,09시30분,166.47
42,09시45분,179.39
43,10시00분,170.48
44,10시15분,170.48
45,10시30분,170.48
46,10시45분,-19.0
47,11시00분,0.0
48,11시15분,168.38
49,11시30분,168.38
50,11시45분,0.0
51,12시00분,0.0
52,12시15분,160.21
53,12시30분,0.0
54,12시45분,0.0
55,13시00분,0.0
56,13시15분,0.0
57,13시30분,0.0
58,13시45분,0.0
59,14시00분,0.0
60,14시15분,159.57
61,14시30분,159.57
62,14시45분,0.0
63,15시00분,0.0
64,15시15분,0.0
65,15시30분,0.0
66,15시45분,0.0
67,16시00분,158.89
68,16시15분,158.89
69,16시30분,158.89
70,16시45분,158.89
71,17시00분,159.79
72,17시15분,159.79
73,17시30분,167.79
74,17시45분,167.39
75,18시00분,166.05
76,18시15분,166.05
77,18시30분,166.05
78,18시45분,166.07
79,19시00분,166.07
80,19시15분,166.07
81,19시30분,166.07
82,19시45분,166.03
83,20시00분,166.2
84,20시15분,166.2
85,20시30분,166.2
86,20시45분,166.2
87,21시00분,166.2
88,21시15분,166.2
89,21시30분,166.2
90,21시45분,166.2
91,22시00분,166.2
92,22시15분,166.5
93,22시30분,166.2
94,22시45분,158.79
95,23시00분,158.81
96,23시15분,158.81
97,23시30분,158.81
98,23시45분,158.81
