,시간,03-03 (일)
0,최대,326.73
1,최소,-19.0
2,평균,128.53
3,00시00분,174.15
4,00시15분,171.71
5,00시30분,171.01
6,00시45분,166.05
7,01시00분,100.21
8,01시15분,100.21
9,01시30분,100.21
10,01시45분,100.21
11,02시00분,82.66
12,02시15분,326.73
13,02시30분,326.6
14,02시45분,82.66
15,03시00분,176.1
16,03시15분,174.15
17,03시30분,170.07
18,03시45분,175.18
19,04시00분,173.98
20,04시15분,174.88
21,04시30분,173.44
22,04시45분,82.66
23,05시00분,99.15
24,05시15분,99.15
25,05시30분,99.15
26,05시45분,99.15
27,06시00분,105.8
28,06시15분,105.8
29,06시30분,105.8
30,06시45분,105.8
31,07시00분,107.39
32,07시15분,181.89
33,07시30분,181.64
34,07시45분,107.39
35,08시00분,95.99
36,08시15분,95.99
37,08시30분,95.99
38,08시45분,95.99
39,09시00분,107.39
40,09시15분,0.0
41,09시30분,0.0
42,09시45분,107.39
43,10시00분,0.0
44,10시15분,0.0
45,10시30분,100.21
46,10시45분,100.21
47,11시00분,104.76
48,11시15분,104.76
49,11시30분,104.76
50,11시45분,0.0
51,12시00분,0.0
52,12시15분,95.93
53,12시30분,95.93
54,12시45분,95.93
55,13시00분,95.93
56,13시15분,95.93
57,13시30분,95.93
58,13시45분,-19.0
59,14시00분,0.0
60,14시15분,0.0
61,14시30분,0.0
62,14시45분,95.68
63,15시00분,95.7
64,15시15분,95.7
65,15시30분,95.7
66,15시45분,95.7
67,16시00분,95.94
68,16시15분,95.94
69,16시30분,95.94
70,16시45분,95.94
71,17시00분,96.31
72,17시15분,96.31
73,17시30분,96.31
74,17시45분,96.31
75,18시00분,107.21
76,18시15분,107.21
77,18시30분,107.21
78,18시45분,168.18
79,19시00분,169.86
80,19시15분,169.82
81,19시30분,169.83
82,19시45분,169.16
83,20시00분,324.16
84,20시15분,323.98
85,20시30분,169.12
86,20시45분,322.97
87,21시00분,325.76
88,21시15분,325.75
89,21시30분,172.43
90,21시45분,171.99
91,22시00분,172.13
92,22시15분,325.8
93,22시30분,172.13
94,22시45분,169.12
95,23시00분,168.99
96,23시15분,169.12
97,23시30분,169.12
98,23시45분,169.12
