,시간,03-26 (화)
0,최대,203.29
1,최소,-19.0
2,평균,149.01
3,00시00분,168.04
4,00시15분,168.04
5,00시30분,168.04
6,00시45분,168.04
7,01시00분,155.78
8,01시15분,155.78
9,01시30분,155.78
10,01시45분,155.75
11,02시00분,120.11
12,02시15분,120.11
13,02시30분,120.11
14,02시45분,120.11
15,03시00분,120.24
16,03시15분,120.24
17,03시30분,120.24
18,03시45분,120.24
19,04시00분,120.24
20,04시15분,120.24
21,04시30분,120.24
22,04시45분,120.24
23,05시00분,120.24
24,05시15분,120.24
25,05시30분,120.24
26,05시45분,120.24
27,06시00분,126.78
28,06시15분,126.78
29,06시30분,126.78
30,06시45분,126.78
31,07시00분,156.13
32,07시15분,156.13
33,07시30분,156.13
34,07시45분,156.13
35,08시00분,168.92
36,08시15분,169.09
37,08시30분,169.09
38,08시45분,169.09
39,09시00분,203.29
40,09시15분,203.29
41,09시30분,203.29
42,09시45분,203.29
43,10시00분,159.51
44,10시15분,159.51
45,10시30분,159.51
46,10시45분,159.51
47,11시00분,154.11
48,11시15분,154.11
49,11시30분,154.11
50,11시45분,154.11
51,12시00분,143.35
52,12시15분,143.35
53,12시30분,143.35
54,12시45분,143.35
55,13시00분,143.35
56,13시15분,143.35
57,13시30분,143.35
58,13시45분,143.35
59,14시00분,143.35
60,14시15분,143.35
61,14시30분,143.35
62,14시45분,143.35
63,15시00분,143.55
64,15시15분,143.55
65,15시30분,143.55
66,15시45분,143.55
67,16시00분,156.13
68,16시15분,-19.0
69,16시30분,164.84
70,16시45분,154.11
71,17시00분,161.07
72,17시15분,169.39
73,17시30분,168.98
74,17시45분,168.94
75,18시00분,170.12
76,18시15분,170.12
77,18시30분,170.12
78,18시45분,170.12
79,19시00분,170.12
80,19시15분,170.12
81,19시30분,170.12
82,19시45분,170.12
83,20시00분,172.35
84,20시15분,172.35
85,20시30분,
86,20시45분,
87,21시00분,
88,21시15분,
89,21시30분,
90,21시45분,
91,22시00분,
92,22시15분,
93,22시30분,
94,22시45분,
95,23시00분,
96,23시15분,
97,23시30분,
98,23시45분,
