,시간,03-19 (화)
0,최대,172.85
1,최소,-77.94
2,평균,110.18
3,00시00분,124.24
4,00시15분,124.24
5,00시30분,124.24
6,00시45분,124.24
7,01시00분,101.77
8,01시15분,101.77
9,01시30분,101.77
10,01시45분,101.77
11,02시00분,101.77
12,02시15분,101.77
13,02시30분,101.77
14,02시45분,101.77
15,03시00분,101.77
16,03시15분,101.77
17,03시30분,101.77
18,03시45분,101.77
19,04시00분,101.77
20,04시15분,101.77
21,04시30분,101.77
22,04시45분,101.77
23,05시00분,104.28
24,05시15분,104.28
25,05시30분,104.28
26,05시45분,104.28
27,06시00분,120.27
28,06시15분,120.27
29,06시30분,120.27
30,06시45분,120.27
31,07시00분,170.99
32,07시15분,170.99
33,07시30분,170.99
34,07시45분,145.22
35,08시00분,169.88
36,08시15분,169.88
37,08시30분,169.88
38,08시45분,169.82
39,09시00분,172.5
40,09시15분,172.5
41,09시30분,172.5
42,09시45분,172.67
43,10시00분,154.48
44,10시15분,154.48
45,10시30분,154.48
46,10시45분,154.48
47,11시00분,154.48
48,11시15분,154.48
49,11시30분,154.48
50,11시45분,0.0
51,12시00분,145.91
52,12시15분,0.0
53,12시30분,-25.98
54,12시45분,-77.94
55,13시00분,-77.94
56,13시15분,-77.94
57,13시30분,-77.94
58,13시45분,-77.94
59,14시00분,-19.0
60,14시15분,0.0
61,14시30분,0.0
62,14시45분,0.0
63,15시00분,0.0
64,15시15분,153.28
65,15시30분,153.28
66,15시45분,153.28
67,16시00분,0.0
68,16시15분,0.0
69,16시30분,0.0
70,16시45분,0.0
71,17시00분,0.0
72,17시15분,0.0
73,17시30분,0.0
74,17시45분,170.94
75,18시00분,170.94
76,18시15분,170.94
77,18시30분,170.94
78,18시45분,170.94
79,19시00분,171.12
80,19시15분,171.12
81,19시30분,171.12
82,19시45분,172.47
83,20시00분,172.56
84,20시15분,172.56
85,20시30분,172.56
86,20시45분,171.21
87,21시00분,171.21
88,21시15분,171.21
89,21시30분,171.21
90,21시45분,171.21
91,22시00분,171.21
92,22시15분,172.67
93,22시30분,172.67
94,22시45분,172.67
95,23시00분,172.85
96,23시15분,172.85
97,23시30분,172.85
98,23시45분,151.28
