,시간,03-06 (수)
0,최대,172.44
1,최소,0.0
2,평균,132.82
3,00시00분,107.38
4,00시15분,107.38
5,00시30분,107.38
6,00시45분,107.38
7,01시00분,95.03
8,01시15분,95.03
9,01시30분,95.03
10,01시45분,95.03
11,02시00분,94.64
12,02시15분,94.64
13,02시30분,94.64
14,02시45분,94.64
15,03시00분,94.64
16,03시15분,94.64
17,03시30분,94.64
18,03시45분,94.64
19,04시00분,94.36
20,04시15분,94.36
21,04시30분,94.36
22,04시45분,94.36
23,05시00분,94.73
24,05시15분,94.73
25,05시30분,94.73
26,05시45분,94.73
27,06시00분,108.17
28,06시15분,108.17
29,06시30분,108.17
30,06시45분,108.17
31,07시00분,168.75
32,07시15분,168.75
33,07시30분,168.75
34,07시45분,165.77
35,08시00분,171.11
36,08시15분,171.11
37,08시30분,171.11
38,08시45분,171.11
39,09시00분,172.44
40,09시15분,172.44
41,09시30분,172.44
42,09시45분,172.44
43,10시00분,169.45
44,10시15분,169.49
45,10시30분,169.52
46,10시45분,169.55
47,11시00분,169.59
48,11시15분,166.44
49,11시30분,169.93
50,11시45분,168.75
51,12시00분,170.33
52,12시15분,169.12
53,12시30분,0.0
54,12시45분,162.72
55,13시00분,165.33
56,13시15분,165.62
57,13시30분,164.09
58,13시45분,169.27
59,14시00분,165.13
60,14시15분,0.0
61,14시30분,0.0
62,14시45분,167.37
63,15시00분,0.0
64,15시15분,0.0
65,15시30분,166.52
66,15시45분,167.05
67,16시00분,167.05
68,16시15분,167.05
69,16시30분,167.05
70,16시45분,167.05
71,17시00분,167.05
72,17시15분,167.05
73,17시30분,167.05
74,17시45분,167.05
75,18시00분,167.05
76,18시15분,167.05
77,18시30분,167.05
78,18시45분,167.05
79,19시00분,167.05
80,19시15분,167.05
81,19시30분,167.05
82,19시45분,
83,20시00분,
84,20시15분,
85,20시30분,
86,20시45분,
87,21시00분,
88,21시15분,
89,21시30분,
90,21시45분,
91,22시00분,
92,22시15분,
93,22시30분,
94,22시45분,
95,23시00분,
96,23시15분,
97,23시30분,
98,23시45분,
