,시간,03-14 (목)
0,최대,175.62
1,최소,-77.94
2,평균,143.3
3,00시00분,156.13
4,00시15분,156.13
5,00시30분,156.13
6,00시45분,155.81
7,01시00분,155.81
8,01시15분,155.95
9,01시30분,155.97
10,01시45분,156.1
11,02시00분,155.95
12,02시15분,156.12
13,02시30분,156.2
14,02시45분,107.31
15,03시00분,103.63
16,03시15분,103.63
17,03시30분,103.63
18,03시45분,156.02
19,04시00분,155.95
20,04시15분,155.88
21,04시30분,155.81
22,04시45분,155.42
23,05시00분,155.42
24,05시15분,155.42
25,05시30분,155.42
26,05시45분,155.42
27,06시00분,155.42
28,06시15분,155.42
29,06시30분,155.42
30,06시45분,155.42
31,07시00분,169.04
32,07시15분,169.92
33,07시30분,169.54
34,07시45분,170.34
35,08시00분,169.16
36,08시15분,171.56
37,08시30분,175.11
38,08시45분,175.62
39,09시00분,173.73
40,09시15분,170.48
41,09시30분,0.0
42,09시45분,-77.94
43,10시00분,0.0
44,10시15분,0.0
45,10시30분,163.61
46,10시45분,163.52
47,11시00분,146.76
48,11시15분,146.76
49,11시30분,146.76
50,11시45분,146.76
51,12시00분,141.76
52,12시15분,141.76
53,12시30분,141.76
54,12시45분,141.76
55,13시00분,141.76
56,13시15분,141.76
57,13시30분,141.76
58,13시45분,141.76
59,14시00분,0.0
60,14시15분,141.73
61,14시30분,0.0
62,14시45분,133.52
63,15시00분,161.18
64,15시15분,163.27
65,15시30분,163.3
66,15시45분,163.29
67,16시00분,163.24
68,16시15분,141.9
69,16시30분,163.84
70,16시45분,165.11
71,17시00분,165.11
72,17시15분,165.11
73,17시30분,165.11
74,17시45분,165.12
75,18시00분,166.51
76,18시15분,166.51
77,18시30분,166.51
78,18시45분,166.51
79,19시00분,166.51
80,19시15분,166.51
81,19시30분,166.51
82,19시45분,166.51
83,20시00분,166.51
84,20시15분,166.51
85,20시30분,166.51
86,20시45분,
87,21시00분,
88,21시15분,
89,21시30분,
90,21시45분,
91,22시00분,
92,22시15분,
93,22시30분,
94,22시45분,
95,23시00분,
96,23시15분,
97,23시30분,
98,23시45분,
