,시간,03-15 (금)
0,최대,168.41
1,최소,-77.94
2,평균,128.1
3,00시00분,167.49
4,00시15분,167.49
5,00시30분,167.49
6,00시45분,145.83
7,01시00분,155.32
8,01시15분,155.32
9,01시30분,155.32
10,01시45분,155.32
11,02시00분,155.32
12,02시15분,155.32
13,02시30분,155.32
14,02시45분,155.18
15,03시00분,155.18
16,03시15분,155.18
17,03시30분,155.18
18,03시45분,155.18
19,04시00분,155.18
20,04시15분,155.18
21,04시30분,155.18
22,04시45분,155.32
23,05시00분,163.86
24,05시15분,163.89
25,05시30분,163.92
26,05시45분,163.95
27,06시00분,163.98
28,06시15분,164.46
29,06시30분,164.46
30,06시45분,164.59
31,07시00분,164.59
32,07시15분,164.59
33,07시30분,154.91
34,07시45분,154.91
35,08시00분,166.41
36,08시15분,166.44
37,08시30분,166.45
38,08시45분,166.51
39,09시00분,164.43
40,09시15분,164.43
41,09시30분,-77.94
42,09시45분,-77.94
43,10시00분,-19.0
44,10시15분,-19.0
45,10시30분,-77.94
46,10시45분,-77.94
47,11시00분,148.62
48,11시15분,148.62
49,11시30분,148.62
50,11시45분,148.62
51,12시00분,99.07
52,12시15분,99.07
53,12시30분,99.07
54,12시45분,99.07
55,13시00분,97.01
56,13시15분,97.01
57,13시30분,97.01
58,13시45분,97.01
59,14시00분,100.77
60,14시15분,100.77
61,14시30분,100.77
62,14시45분,100.77
63,15시00분,131.45
64,15시15분,0.0
65,15시30분,131.45
66,15시45분,131.45
67,16시00분,117.73
68,16시15분,117.73
69,16시30분,117.73
70,16시45분,117.73
71,17시00분,121.04
72,17시15분,121.04
73,17시30분,121.04
74,17시45분,121.04
75,18시00분,168.41
76,18시15분,168.41
77,18시30분,168.41
78,18시45분,168.41
79,19시00분,168.41
80,19시15분,168.41
81,19시30분,168.41
82,19시45분,168.41
83,20시00분,168.41
84,20시15분,
85,20시30분,
86,20시45분,
87,21시00분,
88,21시15분,
89,21시30분,
90,21시45분,
91,22시00분,
92,22시15분,
93,22시30분,
94,22시45분,
95,23시00분,
96,23시15분,
97,23시30분,
98,23시45분,
