,시간,03-10 (일)
0,최대,169.34
1,최소,-77.94
2,평균,105.49
3,00시00분,166.75
4,00시15분,166.75
5,00시30분,166.75
6,00시45분,166.75
7,01시00분,166.75
8,01시15분,166.75
9,01시30분,166.75
10,01시45분,165.97
11,02시00분,110.09
12,02시15분,110.09
13,02시30분,110.09
14,02시45분,110.09
15,03시00분,110.35
16,03시15분,110.35
17,03시30분,110.35
18,03시45분,110.35
19,04시00분,110.35
20,04시15분,110.35
21,04시30분,110.35
22,04시45분,110.35
23,05시00분,165.62
24,05시15분,165.62
25,05시30분,165.62
26,05시45분,165.37
27,06시00분,165.37
28,06시15분,165.37
29,06시30분,165.37
30,06시45분,165.71
31,07시00분,165.71
32,07시15분,165.71
33,07시30분,165.71
34,07시45분,165.71
35,08시00분,110.09
36,08시15분,110.09
37,08시30분,110.09
38,08시45분,110.09
39,09시00분,91.64
40,09시15분,91.64
41,09시30분,0.0
42,09시45분,-8.0
43,10시00분,-77.94
44,10시15분,-77.94
45,10시30분,-77.94
46,10시45분,-77.94
47,11시00분,0.0
48,11시15분,0.0
49,11시30분,0.0
50,11시45분,0.0
51,12시00분,-8.0
52,12시15분,-8.0
53,12시30분,-8.0
54,12시45분,-4.0
55,13시00분,6.93
56,13시15분,6.93
57,13시30분,6.93
58,13시45분,6.93
59,14시00분,82.66
60,14시15분,82.66
61,14시30분,82.66
62,14시45분,82.66
63,15시00분,91.5
64,15시15분,0.0
65,15시30분,0.0
66,15시45분,91.5
67,16시00분,93.74
68,16시15분,-2.0
69,16시30분,-9.0
70,16시45분,93.74
71,17시00분,106.51
72,17시15분,106.51
73,17시30분,106.51
74,17시45분,106.51
75,18시00분,169.34
76,18시15분,169.34
77,18시30분,169.34
78,18시45분,169.34
79,19시00분,169.34
80,19시15분,169.34
81,19시30분,169.34
82,19시45분,169.34
83,20시00분,169.34
84,20시15분,169.34
85,20시30분,169.34
86,20시45분,169.34
87,21시00분,169.34
88,21시15분,169.34
89,21시30분,169.34
90,21시45분,169.34
91,22시00분,169.34
92,22시15분,169.34
93,22시30분,169.34
94,22시45분,169.34
95,23시00분,169.34
96,23시15분,169.34
97,23시30분,169.34
98,23시45분,169.34
