,timestamp,gen,capacity,forecast_da,forecast_rt
89,2024-03-04 17:00,1168.74703,73855.62,633.9679928,1015.242743
90,2024-03-04 18:00,159.4396857,73855.62,-155.8551544,42.00423162
91,2024-03-04 19:00,1.7,73855.62,-95.54817902,-77.64327817
92,2024-03-04 20:00,0,73855.62,-86.37692249,-64.24991681
93,2024-03-04 21:00,0,73855.62,0,0
94,2024-03-04 22:00,0,73855.62,0,0
95,2024-03-04 23:00,0,73855.62,0,0
96,2024-03-05 0:00,0,73855.62,0,0
97,2024-03-05 1:00,0,73855.62,0,0
98,2024-03-05 2:00,0,73855.62,0,0
99,2024-03-05 3:00,0,73855.62,0,0
100,2024-03-05 4:00,0,73855.62,0,0
101,2024-03-05 5:00,0,73855.62,0,0
102,2024-03-05 6:00,0,73855.62,0,0
103,2024-03-05 7:00,68.021581,73855.62,40.29326582,119.5301118
104,2024-03-05 8:00,520.770866,73855.62,711.1107396,567.4043546
105,2024-03-05 9:00,1304.458467,73855.62,1710.621789,1425.752071
106,2024-03-05 10:00,1511.880467,73855.62,3258.987943,1876.920165
107,2024-03-05 11:00,1879.33133,73855.62,3973.351417,2200.725361
108,2024-03-05 12:00,2175.07201,73855.62,4008.201619,2464.959039
109,2024-03-05 13:00,1724.192657,73855.62,3358.226008,2215.298398
110,2024-03-05 14:00,1319.773663,73855.62,2474.677654,1566.31026
111,2024-03-05 15:00,1153.141673,73855.62,1619.914834,1163.24864
112,2024-03-05 16:00,1098.521166,73855.62,1152.036457,1029.025074
113,2024-03-05 17:00,549.716234,73855.62,527.2139026,489.2102049
114,2024-03-05 18:00,107.0414571,73855.62,-39.39462995,36.17599516
115,2024-03-05 19:00,1.8,73855.62,-88.49259049,-46.57168195
116,2024-03-05 20:00,0,73855.62,-75.93765317,-35.00544452
117,2024-03-05 21:00,0,73855.62,0,0
118,2024-03-05 22:00,0,73855.62,0,0
119,2024-03-05 23:00,0,73855.62,0,0
120,2024-03-06 0:00,0,73855.62,0,0
121,2024-03-06 1:00,0,73855.62,0,0
122,2024-03-06 2:00,0,73855.62,0,0
123,2024-03-06 3:00,0,73855.62,0,0
124,2024-03-06 4:00,0,73855.62,0,0
125,2024-03-06 5:00,0,73855.62,0,0
126,2024-03-06 6:00,0.118,73855.62,0,0
127,2024-03-06 7:00,344.59567,73855.62,304.853713,389.1258744
128,2024-03-06 8:00,2295.78363,73855.62,1729.14837,2130.250664
129,2024-03-06 9:00,5664.2299,73855.62,3670.170929,5146.126509
130,2024-03-06 10:00,7986.54783,73855.62,5137.031371,7492.617172
131,2024-03-06 11:00,8805.84153,73855.62,6554.891647,8615.255001
132,2024-03-06 12:00,8226.96877,73855.62,7475.220282,8524.535062
133,2024-03-06 13:00,6304.80623,73855.62,7620.644516,7211.093069
134,2024-03-06 14:00,4869.63454,73855.62,6799.975179,5408.370853
135,2024-03-06 15:00,3745.74876,73855.62,5492.02188,4122.299848
136,2024-03-06 16:00,2531.9869,73855.62,3029.241469,2667.270369
137,2024-03-06 17:00,1237.829097,73855.62,1067.79915,1138.168626
138,2024-03-06 18:00,210.848833,73855.62,49.49215334,124.7565004
139,2024-03-06 19:00,3.95,73855.62,-65.60501682,-30.0548342
140,2024-03-06 20:00,0,73855.62,-15.39883203,-18.12022603
141,2024-03-06 21:00,0,73855.62,0,0
142,2024-03-06 22:00,0,73855.62,0,0
143,2024-03-06 23:00,0,73855.62,0,0
144,2024-03-07 0:00,0,73855.62,0,0
145,2024-03-07 1:00,0,73855.62,0,0
146,2024-03-07 2:00,0,73855.62,0,0
147,2024-03-07 3:00,0,73855.62,0,0
148,2024-03-07 4:00,0,73855.62,0,0
149,2024-03-07 5:00,0,73855.62,0,0
150,2024-03-07 6:00,0.1,73855.62,0,0
151,2024-03-07 7:00,146.6957901,73855.62,228.8782962,321.6267278
152,2024-03-07 8:00,864.264397,73855.62,1154.566296,1217.53823
153,2024-03-07 9:00,2315.55617,73855.62,2292.720326,2592.066453
154,2024-03-07 10:00,3620.5979,73855.62,2638.009423,3628.006803
155,2024-03-07 11:00,4454.1333,73855.62,3726.19695,4671.664621
156,2024-03-07 12:00,5863.06963,73855.62,4132.74645,5643.492541
157,2024-03-07 13:00,7172.50282,73855.62,4463.869846,6706.787997
158,2024-03-07 14:00,6617.061513,73855.62,5018.144903,6533.765995
159,2024-03-07 15:00,5725.00534,73855.62,5077.440943,5543.338342
160,2024-03-07 16:00,4151.86813,73855.62,3602.53279,3928.95551
161,2024-03-07 17:00,1938.863363,73855.62,1505.282416,1825.839638
162,2024-03-07 18:00,327.190167,73855.62,161.0726981,245.3104335
163,2024-03-07 19:00,6.1966667,73855.62,-18.57228267,9.920688348
164,2024-03-07 20:00,0,73855.62,-31.2505065,0.888453837
165,2024-03-07 21:00,0,73855.62,0,0
166,2024-03-07 22:00,0,73855.62,0,0
167,2024-03-07 23:00,0,73855.62,0,0
168,2024-03-08 0:00,0,73855.62,0,0
169,2024-03-08 1:00,0,73855.62,0,0
170,2024-03-08 2:00,0,73855.62,0,0
171,2024-03-08 3:00,0,73855.62,0,0
172,2024-03-08 4:00,0,73855.62,0,0
173,2024-03-08 5:00,0,73855.62,0,0
174,2024-03-08 6:00,0.11,73855.62,0,0
175,2024-03-08 7:00,515.58373,73855.62,706.1489569,588.1695714
176,2024-03-08 8:00,2913.75227,73855.62,3579.515005,3058.212102
177,2024-03-08 9:00,6966.18477,73855.62,7643.828413,7231.544566
178,2024-03-08 10:00,10575.9457,73855.62,11379.23817,10880.89301
179,2024-03-08 11:00,13376.8023,73855.62,13823.68828,13608.02302
180,2024-03-08 12:00,14512.5123,73855.62,14719.29688,14664.86482
181,2024-03-08 13:00,14472.7083,73855.62,14770.66189,14565.85357
182,2024-03-08 14:00,13214.9385,73855.62,13706.84533,13400.33239
183,2024-03-08 15:00,10734.9345,73855.62,11398.03179,11014.29217
184,2024-03-08 16:00,7306.38423,73855.62,7358.062246,7413.566619
185,2024-03-08 17:00,3052.8555,73855.62,2860.739064,3034.870143
186,2024-03-08 18:00,402.3825003,73855.62,177.166376,353.9179656
187,2024-03-08 19:00,6.0166667,73855.62,-68.00012504,7.932352929
188,2024-03-08 20:00,0,73855.62,-59.44551921,5.781427699
189,2024-03-08 21:00,0,73855.62,0,0
190,2024-03-08 22:00,0,73855.62,0,0
191,2024-03-08 23:00,0,73855.62,0,0
192,2024-03-09 0:00,0,73855.62,0,0
193,2024-03-09 1:00,0,73855.62,0,0
194,2024-03-09 2:00,0,73855.62,0,0
195,2024-03-09 3:00,0,73855.62,0,0
196,2024-03-09 4:00,0,73855.62,0,0
197,2024-03-09 5:00,0,73855.62,0,0
198,2024-03-09 6:00,0.394,73855.62,0,0
199,2024-03-09 7:00,685.956727,73855.62,788.7154289,703.5069529
200,2024-03-09 8:00,4016.17373,73855.62,4206.280595,4043.291778
201,2024-03-09 9:00,8365.5486,73855.62,8375.374451,8497.941242
202,2024-03-09 10:00,11753.6543,73855.62,11937.49555,11841.59191
203,2024-03-09 11:00,13861.3928,73855.62,14186.42881,14034.26283
